student_country,date_registered,Number of Courses Taken,Number of engagement_quizzes,Number of engagement_exams,Number of engagement_lessons,Number of date_engaged,Total minutes_watched,Total Number of date_watched,Number_of_Exams_Attempted,Number of Exams_Taken,Average_Exam_Result,Average_Exam_Completion_Time,Switch
IN,1/1/2022,2,3,0,6,6,71.2,6,0,0,0,0,1
SA,1/2/2022,1,1,0,1,1,38.6,1,0,0,0,0,1
US,1/4/2022,1,0,0,1,1,1.2,1,0,0,0,0,1
US,1/6/2022,1,2,0,3,3,89.5,3,0,0,0,0,1
CA,1/6/2022,1,2,0,2,2,10.5,2,0,0,0,0,1
US,1/9/2022,0,0,0,0,0,0,0,0,0,0,0,1
NG,1/10/2022,1,0,0,6,6,247.5,6,0,0,0,0,1
KE,1/11/2022,2,3,1,6,6,106.9,6,1,1,83.5,1.65,1
US,1/14/2022,4,2,0,8,8,16.9,8,0,0,0,0,1
NG,1/18/2022,2,2,0,3,3,107.6,3,0,0,0,0,1
US,1/18/2022,1,3,0,3,3,222,3,0,0,0,0,1
MY,1/19/2022,1,1,0,1,1,11.1,1,0,0,0,0,1
US,1/20/2022,1,2,1,3,3,34.1,3,1,1,83.5,1.49,1
IT,1/21/2022,2,1,0,2,2,41.8,2,0,0,0,0,1
US,1/21/2022,1,0,0,1,1,5,1,0,0,0,0,1
KE,1/23/2022,1,2,0,2,2,115.7,2,0,0,0,0,1
US,1/24/2022,2,0,1,2,2,91.2,2,1,1,67,5.15,1
US,1/25/2022,0,0,0,0,0,0,0,0,0,0,0,1
US,1/25/2022,0,0,0,0,0,0,0,0,0,0,0,1
BR,1/26/2022,1,1,0,1,1,10,1,0,0,0,0,1
IN,1/27/2022,4,4,1,10,10,153.8,10,1,1,66.5,1.79,1
GH,1/27/2022,3,2,1,4,5,115.8,4,1,1,83.25,5.12,1
NG,1/27/2022,1,0,0,1,1,1.5,1,0,0,0,0,1
IN,1/27/2022,1,0,0,1,1,5.9,1,0,0,0,0,1
NL,1/29/2022,1,1,0,2,2,22.4,2,0,0,0,0,1
US,1/30/2022,0,0,0,0,0,0,0,0,0,0,0,1
US,1/30/2022,0,0,0,0,0,0,0,0,0,0,0,1
US,2/1/2022,1,2,1,2,3,211.5,2,1,1,50,8.58,1
IL,2/1/2022,1,0,0,1,1,3.2,1,0,0,0,0,1
IN,2/1/2022,1,0,0,1,1,0.5,1,0,0,0,0,1
US,2/2/2022,1,1,0,1,1,21.8,1,0,0,0,0,1
US,2/3/2022,1,1,0,3,3,6,3,0,0,0,0,1
KW,2/5/2022,1,0,0,1,1,15.1,1,0,0,0,0,1
CL,2/8/2022,2,0,0,2,2,15.9,2,0,0,0,0,1
US,2/10/2022,6,4,2,17,18,331.6,17,2,2,58.5,5.74,1
GB,2/10/2022,0,0,0,0,0,0,0,0,0,0,0,1
IN,2/12/2022,1,0,1,1,1,1.6,1,1,1,17,10,1
US,2/12/2022,0,0,0,0,0,0,0,0,0,0,0,1
US,2/16/2022,2,4,2,4,4,155.2,4,2,2,80.5,5.94,1
SA,2/16/2022,1,2,1,3,3,77.6,3,1,1,67,9.98,1
US,2/17/2022,0,0,0,0,0,0,0,0,0,0,0,1
IN,2/19/2022,1,0,0,1,1,2.3,1,0,0,0,0,1
US,2/20/2022,0,0,0,0,0,0,0,0,0,0,0,1
US,2/20/2022,1,2,0,2,2,26,2,0,0,0,0,1
IN,2/25/2022,5,2,1,8,8,369.6,8,1,1,100,5.71,1
US,2/25/2022,1,1,0,1,1,21.3,1,0,0,0,0,1
MA,2/26/2022,1,0,0,1,1,1.2,1,0,0,0,0,1
IL,2/27/2022,2,0,0,2,2,36.6,2,0,0,0,0,1
US,2/28/2022,2,1,1,2,3,8.9,2,1,1,75,1.52,1
ID,3/2/2022,1,0,0,1,1,0.1,1,0,0,0,0,1
IN,3/4/2022,1,0,0,1,1,60.2,1,0,0,0,0,1
